"filename", "language", "Properties", "JavaScript", "JSON", "HTML", "vue", "Markdown", "CSS", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\coolpc\Desktop\zibidi-02\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\coolpc\Desktop\zibidi-02\.github\workflows\codesee-arch-diagram.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 4, 24
"c:\Users\coolpc\Desktop\zibidi-02\README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\coolpc\Desktop\zibidi-02\index.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\coolpc\Desktop\zibidi-02\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\coolpc\Desktop\zibidi-02\postcss.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\coolpc\Desktop\zibidi-02\src\App.vue", "vue", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\VueQuill.css", "CSS", 0, 0, 0, 0, 0, 0, 958, 0, 0, 6, 1, 965
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\app.css", "CSS", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 24, 158
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\content.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\favorite.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\input.css", "CSS", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 4, 121
"c:\Users\coolpc\Desktop\zibidi-02\src\assets\learnmore.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 6, 105
"c:\Users\coolpc\Desktop\zibidi-02\src\components\BackGround.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\coolpc\Desktop\zibidi-02\src\components\GoogleAuth.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\coolpc\Desktop\zibidi-02\src\components\ImageCropper.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\coolpc\Desktop\zibidi-02\src\components\ImageUpload.vue", "vue", 0, 0, 0, 0, 60, 0, 0, 0, 0, 33, 5, 98
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Loader.vue", "vue", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Navbar.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 17, 1, 36
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Navbar.vue", "vue", 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 2, 50
"c:\Users\coolpc\Desktop\zibidi-02\src\components\NavbarMobile.vue", "vue", 0, 0, 0, 0, 134, 0, 0, 0, 0, 1, 4, 139
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Posts.vue", "vue", 0, 0, 0, 0, 154, 0, 0, 0, 0, 4, 6, 164
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Section.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\coolpc\Desktop\zibidi-02\src\components\SignIn.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\coolpc\Desktop\zibidi-02\src\components\SignUp.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\Users\coolpc\Desktop\zibidi-02\src\components\TagSearch.vue", "vue", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 11, 166
"c:\Users\coolpc\Desktop\zibidi-02\src\components\ThemeSwitcher.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\coolpc\Desktop\zibidi-02\src\components\Toast.vue", "vue", 0, 0, 0, 0, 54, 0, 0, 0, 0, 13, 3, 70
"c:\Users\coolpc\Desktop\zibidi-02\src\main.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
